number,target,multiplier,addend,total,diff,angle
271,43,10.125,8.125,172.0,99.0,32.402738584454745
273,11,10.125,51.875,176.0,97.0,32.80941610422735
275,175,10.125,15.625,175.0,100.0,32.47119229084849
277,1,10.125,1291.375,256.0,21.0,42.74373479335765
279,89,10.125,23.125,178.0,101.0,32.5375836626555
281,179,10.125,18.875,179.0,102.0,32.497571561320264
283,719,10.125,10.625,179.75,103.25,32.42203950378181
285,91,10.125,26.375,182.0,103.0,32.56215852346437
287,1457,10.125,8.125,182.125,104.875,32.398471695907894
289,23,10.125,17.875,184.0,105.0,32.48401874675983
291,47,10.125,61.625,188.0,103.0,32.864404883208486
293,47,10.125,41.375,188.0,105.0,32.685782221977895
295,749,10.125,9.125,187.25,107.75,32.40516524606154
297,755,10.125,12.875,188.75,108.25,32.436851665382605
299,95,10.125,12.625,190.0,109.0,32.43397918966432
301,1,10.125,1048.375,256.0,45.0,40.38110881892708
303,769,10.125,8.125,192.25,110.75,32.39465509417077
305,49,10.125,47.875,196.0,109.0,32.72573078337898
307,49,10.125,27.625,196.0,111.0,32.555645895002776
309,13,10.125,199.375,208.0,101.0,33.94604101064945
311,395,10.125,11.125,197.5,113.5,32.41751665175564
313,199,10.125,14.875,199.0,114.0,32.44749676717334
315,25,10.125,10.625,200.0,115.0,32.41230661835122
317,101,10.125,22.375,202.0,115.0,32.50626417762079
319,1619,10.125,8.125,202.375,116.625,32.391221073316714
321,13,10.125,77.875,208.0,113.0,32.94223180068535
323,103,10.125,25.625,206.0,117.0,32.528545404338225
325,53,10.125,101.375,212.0,113.0,33.11671932117399
327,415,10.125,9.125,207.5,119.5,32.39743798623807
329,209,10.125,12.875,209.0,120.0,32.42609526788017
331,53,10.125,40.625,212.0,119.0,32.63888677643604
333,107,10.125,52.375,214.0,119.0,32.726529280748615
335,425,10.125,8.125,212.5,122.5,32.38811485340091
337,215,10.125,27.875,215.0,122.0,32.53715056506522
339,431,10.125,15.625,215.5,123.5,32.44384347215559
341,1,10.125,643.375,256.0,85.0,36.89677183689063
343,109,10.125,15.125,218.0,125.0,32.4387546006853
345,55,10.125,26.875,220.0,125.0,32.524890287791045
347,881,10.125,10.625,220.25,126.75,32.40436729255902
349,7,10.125,50.375,224.0,125.0,32.69371962947486
351,1781,10.125,8.125,222.625,128.375,32.3852916362994
353,449,10.125,17.875,224.5,128.5,32.45543582057568
