number,multiplier,addend,total,exponent,target
147,172.9951171875,937.7177734375,26368,8,103
147,259.49267578125,1534.57666015625,39680,8,155
147,389.239013671875,2429.864990234375,59648,8,233
147,583.8585205078125,3772.7974853515625,89600,9,175
147,875.78778076171875,5915.19622802734375,134656,9,263
147,1313.681671142578125,9128.794342041015625,202240,9,395
147,1970.5225067138671875,13949.1915130615234375,303616,9,593
147,2955.78376007080078125,21179.78726959228515625,455680,10,445
147,4433.675640106201171875,32281.680904388427734375,684032,12,167
147,6650.5134601593017578125,50470.5213565826416015625,1028096,12,251
147,9975.77019023895263671875,77753.78203487396240234375,1544192,12,377
147,14963.655285358428955078125,118678.673052310943603515625,2318336,13,283
147,22445.4829280376434326171875,182114.0095784664154052734375,3481600,13,425
147,33668.22439205646514892578125,277267.01436769962310791015625,5226496,14,319
147,50502.336588084697723388671875,424092.521551549434661865234375,7847936,14,479
147,75753.5048821270465850830078125,644330.7823273241519927978515625,11780096,14,719
147,113630.25732319056987762451171875,974688.17349098622798919677734375,17678336,14,1079
147,170445.385984785854816436767578125,1470224.260236479341983795166015625,26525696,14,1619
147,255668.0789771787822246551513671875,2213528.3903547190129756927490234375,39796736,14,2429
147,383502.11846576817333698272705078125,3328484.58553207851946353912353515625,59703296,16,911
147,575253.177698652260005474090576171875,5025494.878298117779195308685302734375,89587712,16,1367
147,862879.7665479783900082111358642578125,7571010.3174471766687929630279541015625,134414336,16,2051
147,1294319.64982196758501231670379638671875,11389283.47617076500318944454193115234375,201654272,16,3077
147,1941479.474732951377518475055694580078125,17116693.214256147504784166812896728515625,302514176,19,577
147,2912219.2120994270662777125835418701171875,25937183.8213842212571762502193450927734375,454033408,20,433
147,4368328.81814914059941656887531280517578125,39430063.73207633188576437532901763916015625,681574400,21,325
147,6552493.227223710899124853312969207763671875,60193671.598114497828646562993526458740234375,1023410176,24,61
147,9828739.8408355663486872799694538116455078125,98679115.3971717467429698444902896881103515625,1543503872,26,23
147,14743109.76125334952303091995418071746826171875,181573105.09575762011445476673543453216552734375,2348810240,26,35
147,22114664.641880024284546379931271076202392578125,305914089.643636430171682150103151798248291015625,3556769792,26,53
147,33171996.9628200364268195698969066143035888671875,492425566.4654546452575232251547276973724365234375,5368709120,30,5
147,49757995.44423005464022935484535992145538330078125,1275509261.69818196788628483773209154605865478515625,8589934592,33,1
333,3,1,1000,3,125
333,4.5,5.5,1504,5,47
333,6.75,24.25,2272,5,71
333,10.125,52.375,3424,5,107
333,15.1875,94.5625,5152,5,161
333,22.78125,157.84375,7744,6,121
333,34.171875,268.765625,11648,7,91
333,51.2578125,467.1484375,17536,7,137
333,76.88671875,764.72265625,26368,8,103
333,115.330078125,1275.083984375,39680,8,155
333,172.9951171875,2040.6259765625,59648,8,233
333,259.49267578125,3188.93896484375,89600,9,175
333,389.239013671875,5039.408447265625,134656,9,263
333,583.8585205078125,7815.1126708984375,202240,9,395
333,875.78778076171875,11978.66900634765625,303616,9,593
333,1313.681671142578125,18224.003509521484375,455680,10,445
333,1970.5225067138671875,27848.0052642822265625,684032,12,167
333,2955.78376007080078125,43820.00789642333984375,1028096,12,251
333,4433.675640106201171875,67778.011844635009765625,1544192,12,377
333,6650.5134601593017578125,103715.0177669525146484375,2318336,13,283
333,9975.77019023895263671875,159668.52665042877197265625,3481600,13,425
333,14963.655285358428955078125,243598.789975643157958984375,5226496,14,319
333,22445.4829280376434326171875,373590.1849634647369384765625,7847936,14,479
333,33668.22439205646514892578125,568577.27744519710540771484375,11780096,14,719
333,50502.336588084697723388671875,861057.916167795658111572265625,17678336,14,1079
333,75753.5048821270465850830078125,1299778.8742516934871673583984375,26525696,14,1619
333,113630.25732319056987762451171875,1957860.31137754023075103759765625,39796736,14,2429
333,170445.385984785854816436767578125,2944982.467066310346126556396484375,59703296,16,911
333,255668.0789771787822246551513671875,4450241.7005994655191898345947265625,89587712,16,1367
333,383502.11846576817333698272705078125,6708130.55089919827878475189208984375,134414336,16,2051
333,575253.177698652260005474090576171875,10094963.826348797418177127838134765625,201654272,16,3077
333,862879.7665479783900082111358642578125,15175213.7395231961272656917572021484375,302514176,19,577
333,1294319.64982196758501231670379638671875,23024964.60928479419089853763580322265625,454033408,20,433
333,1941479.474732951377518475055694580078125,35061734.913927191286347806453704833984375,681574400,21,325
333,2912219.2120994270662777125835418701171875,53641178.3708907869295217096805572509765625,1023410176,24,61
333,4368328.81814914059941656887531280517578125,88850375.55633618039428256452083587646484375,1543503872,26,23
